epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1762.48,1.21729,1.01151,1.37777,0.8564,0.79786,0.87465,0.59226,1.0801,0.70595,1.19898,0.00114715,0.00114715,0.00114715
65,1786.76,1.2358,1.03133,1.37909,0.83489,0.8077,0.87348,0.59577,1.06225,0.74852,1.18896,0.00113889,0.00113889,0.00113889
66,1811.19,1.21942,1.02579,1.36725,0.83273,0.82184,0.87836,0.59932,1.06403,0.74694,1.17742,0.00113064,0.00113064,0.00113064
67,1835.13,1.20104,0.99984,1.35417,0.85671,0.79886,0.88834,0.60161,1.0691,0.68022,1.17673,0.00112239,0.00112239,0.00112239
68,1857.94,1.2358,1.03251,1.37556,0.80055,0.81212,0.86634,0.57863,1.08823,0.7685,1.17292,0.00111414,0.00111414,0.00111414
69,1884.05,1.21704,1.0068,1.36839,0.84366,0.79989,0.87626,0.59864,1.05569,0.71796,1.16001,0.00110589,0.00110589,0.00110589
70,1908.65,1.22804,1.00814,1.36775,0.87909,0.80093,0.89227,0.60966,1.07495,0.71419,1.1755,0.00109764,0.00109764,0.00109764
71,1934.06,1.20986,0.99041,1.36265,0.84825,0.81303,0.88702,0.60267,1.07673,0.70954,1.19332,0.00108938,0.00108938,0.00108938
72,1956.36,1.20085,0.98534,1.34976,0.87753,0.79292,0.88949,0.60767,1.0656,0.67491,1.16806,0.00108113,0.00108113,0.00108113
73,1980.23,1.22441,0.99285,1.37768,0.87659,0.80545,0.88712,0.6208,1.0427,0.68642,1.15903,0.00107288,0.00107288,0.00107288
74,2005.51,1.20122,0.97729,1.34889,0.87522,0.80678,0.89452,0.62036,1.05798,0.66804,1.15625,0.00106463,0.00106463,0.00106463
75,2032.17,1.19032,0.98188,1.34258,0.85671,0.81007,0.88701,0.6027,1.07754,0.72064,1.18533,0.00105638,0.00105638,0.00105638
76,2055.4,1.20383,0.98892,1.36504,0.84622,0.82861,0.8929,0.61874,1.03541,0.68665,1.15948,0.00104813,0.00104813,0.00104813
77,2078.2,1.21034,0.99591,1.35164,0.84737,0.80892,0.87699,0.59313,1.06794,0.74741,1.18011,0.00103987,0.00103987,0.00103987
78,2102.02,1.17474,0.97965,1.35275,0.88933,0.80743,0.89882,0.6197,1.06091,0.66957,1.17262,0.00103162,0.00103162,0.00103162
79,2125.54,1.19606,0.96701,1.36747,0.85042,0.80946,0.88098,0.59898,1.05865,0.70302,1.18522,0.00102337,0.00102337,0.00102337
80,2147.86,1.1915,0.97668,1.36021,0.87187,0.80718,0.89055,0.61879,1.04796,0.67856,1.1671,0.00101512,0.00101512,0.00101512
81,2173.26,1.18372,0.96483,1.35405,0.87065,0.80248,0.88827,0.60821,1.06311,0.68517,1.18525,0.00100687,0.00100687,0.00100687
82,2197.21,1.18567,0.97055,1.35786,0.84683,0.82025,0.88354,0.61056,1.04706,0.73272,1.1862,0.000998616,0.000998616,0.000998616
83,2219.95,1.18811,0.97648,1.35214,0.83032,0.85172,0.89882,0.61433,1.05437,0.66762,1.1792,0.000990365,0.000990365,0.000990365
84,2243.01,1.19182,0.98178,1.35655,0.87096,0.82006,0.90139,0.62396,1.02964,0.6734,1.16211,0.000982113,0.000982113,0.000982113
85,2268.41,1.18192,0.95057,1.34355,0.86064,0.81368,0.88741,0.60461,1.05861,0.69754,1.1751,0.000973861,0.000973861,0.000973861
86,2292.29,1.17683,0.97891,1.34869,0.86613,0.81818,0.89881,0.62816,1.03419,0.66636,1.16168,0.00096561,0.00096561,0.00096561
87,2318.67,1.20244,0.99645,1.35576,0.85787,0.81146,0.88959,0.61134,1.03701,0.6734,1.15663,0.000957358,0.000957358,0.000957358
88,2341,1.17359,0.94675,1.33226,0.87473,0.79587,0.88704,0.61201,1.06503,0.69537,1.17533,0.000949106,0.000949106,0.000949106
89,2365.21,1.19306,0.94927,1.34051,0.83546,0.822,0.88408,0.60676,1.05386,0.71651,1.17619,0.000940855,0.000940855,0.000940855
90,2389.06,1.18031,0.97274,1.35546,0.8645,0.82339,0.89913,0.61717,1.0542,0.66489,1.17949,0.000932603,0.000932603,0.000932603
